Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10
-3.7637724840168825,-0.5765069779502565,-0.4138183690603837,-3.0710555328729674,-6.69427496323242,-1.1425671788556977,-0.8214855748378275,-5.312771720212294,-3.247467432388837,-1.1318991471135762,-0.8430502779937102,-1.9092990553908256,-21.606948624870864,14.2373090177739,7.134191920782081,-37.983278466474694,128.48390620161655,0.14904066701205407,2.3739487270819692,130.22778705073117,-189.94140625,-58.10546875,-29.78515625,-129.8828125
-4.841264290856083,-0.7682940824990643,-0.5572426260363998,-3.922201259566061,-7.73253602918877,-1.3899559269826434,-1.0177057774585363,-6.067970646499382,-0.5508362335432337,-0.8279214849858741,-0.6934811710088142,0.3476750812318573,-72.7348083361937,4.8326821748218824,2.2433172255528877,-72.43401091438534,89.32516570432382,5.740223247105326,4.689444457443323,68.01034414868586,-843.26171875,-42.96875,-4.8828125,-826.66015625
-6.094351363785956,-0.9941342432646662,-0.7291392510607839,-4.913000467708958,-8.643668385336952,-1.6220867823903218,-1.2128546628823598,-6.728299730785907,2.8246665262540187,-0.3069910785145687,-0.4012040239241323,2.9944446165621383,-114.94748684539435,-8.439687155044524,-3.8300644995381172,-97.25275156587148,-54.75977343788403,8.17988811905306,3.502433120919262,-83.87915341146334,135.7421875,-33.69140625,-19.04296875,118.65234375
-7.541274784965237,-1.255039956119543,-0.9303569656599523,-6.0631832164577,-9.3960340870027,-1.8220426059310555,-1.3926343939182104,-7.288020897774149,6.467180082110114,0.4060885822818012,0.037359523408550456,5.648162276302842,-132.56967040084032,-20.640542249272677,-8.718609931359593,-102.88638028841446,-158.14085640262485,5.0131727896093,-0.33262096873067315,-167.30440823558192,-1000.0,-51.7578125,-57.6171875,-1000.0
-9.199976892671952,-1.5514104197816787,-1.1610802512777214,-7.393449697054149,-9.961302943772855,-1.9726136622082784,-1.5414128335304391,-7.7449939186654015,9.916501106542608,1.257318064661562,0.6061783922206494,7.918409473255933,-111.65199617259258,-26.809701524940163,-10.884395509105294,-79.20255467029911,-107.29414103558341,-2.358011354645117,-4.201607914623728,-83.7468375768901,-319.3359375,-52.734375,-62.01171875,-249.51171875
-11.089263190982024,-1.883081138662831,-1.4212910022658318,-8.926193171751617,-10.319237595010323,-2.057464910186382,-1.6446173141063853,-8.102478249066367,12.708197882508118,2.167087146049841,1.2634838538755129,9.451585640262511,-52.567182957774776,-24.427351154592298,-10.413265186014746,-26.455083857799565,50.00195980665553,-9.302650559185365,-5.618960857096733,88.8983717632304,-842.28515625,-36.62109375,-49.31640625,-815.4296875
-13.22813114268174,-2.249329948974561,-1.7109285778573637,-10.684287162803464,-10.456263732901084,-2.0621037336235877,-1.6900271526645485,-8.36466678850668,14.438927866714511,3.037889440509607,1.9436237018294293,9.990564799327888,27.907862331007966,-14.483143491364647,-8.370139345402515,42.17151318381439,154.17765293541615,-10.76015561700219,-3.351078633739989,174.95095403407473,291.50390625,-50.78125,-41.50390625,291.50390625
-15.631564796158242,-2.6488757206610916,-2.0297243938776504,-12.686964812438914,-10.35310446363857,-1.9747226716230306,-1.6678888961930578,-8.523649085024456,14.859204735114213,3.7648143931075615,2.5664176344670664,9.4483771238749,105.43629063797648,-0.842810818737953,-5.647007231409476,106.88385149174245,104.17529414357753,-4.834106170852745,1.806922469474694,87.54139710872474,-1000.0,-78.61328125,-53.7109375,-1000.0
-18.309243963099032,-3.0800851712000155,-2.377041697484944,-14.948549189309112,-9.982755003350327,-1.7875416565960627,-1.5709449477232063,-8.55684845142315,13.905671492589846,4.24531545958229,3.048524352809876,7.919028197752484,155.74785868659396,11.449937991300057,-2.4981081571654062,146.85860758106077,-42.31733329875552,5.1485840704410935,6.6628233616459305,-83.32238169966143,-825.1953125,-74.21875,-44.921875,-609.375
-21.267652196281002,-3.541205805458781,-2.7517625544813544,-17.479285891393225,-9.319780905615136,-1.4979800096836478,-1.3945158842848644,-8.43215873593833,11.670651185498047,4.389576665721506,3.3148005836061216,5.638860504266242,160.8084092236345,18.330230817666585,1.1827449277050763,146.40058465847008,-136.5909708478745,12.4044772363657,7.18534663305231,-167.34854763038533,749.0234375,-46.875,-6.34765625,969.23828125
